,mean,sem
h_mse,0.0018871745191325,8.858389399815448e-05
state_mse,0.0018871745191325,8.858389399815448e-05
state_mse_linear,0.07903942003556927,0.0008145016721561606
state_r2,0.9988126636343229,5.568859749249453e-05
pair_val_loss,0.00569185465574259,9.924715765157557e-05
steps,1000.0,0.0
nll_diq,1.2170427560216335,0.05238766557697607
nll_linear,3.913421386193682,0.03928991313867201
nll_full_gmm,3.0032894255950806,0.1077040301169598
swd_diq,0.059972318092379864,0.002472386245538694
swd_linear,0.06767067996543011,0.002284921663707375
swd_full_gmm,0.06207698445932673,0.0025826022271230676
swd_pca_latent,0.12381346232512518,0.0016787554317072605
fid_diq,0.031556652630092566,0.0029833435605356026
fid_linear,0.03035116583369863,0.003155794154316733
fid_full_gmm,0.03204086118919457,0.0032100539974834683
fid_pca_latent,0.23131653015830772,0.007039316940109551
params_diq_density,577.2,0.7999999999999999
params_full_gmm,977.5,14.150971698084906
