arm,bayes_nll,conditional_w2_squared,covariance_head_outputs,excess_nll,family,heldout_contrast_loss,maximum_principal_sine,method,projector_error,seed,test_nll,true_crossblock_leakage
signed_permutation,1.3648259406632512,0.0016111605006111516,6,0.002956777542547181,block,0.006287842947034759,0.0,oracle_block,0.0,500,1.3677827182057987,0.0
signed_permutation,1.3648259406632512,0.001611160500611153,6,0.0029567775425471815,block,0.006287842947034759,0.0,permutation_block,0.0,500,1.3677827182057987,0.0
signed_permutation,1.3648259406632512,0.0019768159283958604,6,0.0033969862470934033,block,0.005834559547440562,0.27347287125997827,jbd_block,0.3779167879917542,500,1.3682229269103445,0.00576167873996961
signed_permutation,1.3648259406632512,0.023738939933721087,4,0.02821568428281536,diagonal,0.006287842947034759,0.0,oracle_diagonal,0.0,500,1.3930416249460669,0.0
signed_permutation,1.3648259406632512,0.0022941563552041334,10,0.0050050041739689135,full,0.36094803214588683,1.0,provisional_full,1.0,500,1.3698309448372203,0.4340174267303331
haar,1.364825940663251,0.0016111605006111649,6,0.0029567775425470297,block,0.006287842947034744,2.5809568279517847e-08,oracle_block,0.0,500,1.3677827182057982,2.5891009738660703e-30
haar,1.3648259406632512,0.013847343771407504,6,0.017802393515963664,block,0.2053114336740197,0.7221545308030769,permutation_block,0.7223192578490661,500,1.3826283341792147,0.24135854704005222
haar,1.3648259406632512,0.001976815928395706,6,0.003396986247092964,block,0.005834559547439599,0.2734728712599064,jbd_block,0.37791678799165096,500,1.3682229269103445,0.005761678739966776
haar,1.364825940663251,0.0237389399337211,4,0.028215684282815245,diagonal,0.006287842947034744,2.5809568279517847e-08,oracle_diagonal,0.0,500,1.3930416249460664,2.5891009738660703e-30
haar,1.3648259406632512,0.0022941563552040956,10,0.0050050041739690635,full,0.4388840945063042,0.9279436389564679,provisional_full,0.9308361241713393,500,1.3698309448372201,0.47293090706550245
signed_permutation,1.357771553651201,0.0019662361246979426,6,0.0021618922219471324,block,0.007191822577961098,0.0,oracle_block,0.0,501,1.3599334458731482,0.0
signed_permutation,1.357771553651201,0.00196623612469795,6,0.0021618922219471333,block,0.007191822577961098,0.0,permutation_block,0.0,501,1.3599334458731482,0.0
signed_permutation,1.357771553651201,0.0020260899165372324,6,0.0023713694868064436,block,0.008512513113857747,0.10296283585522732,jbd_block,0.1279978523545633,501,1.3601429231380076,0.0013798129783391623
signed_permutation,1.357771553651201,0.023640649957056403,4,0.02512734995452275,diagonal,0.007191822577961098,0.0,oracle_diagonal,0.0,501,1.382898903605724,0.0
signed_permutation,1.357771553651201,0.0025537050102608337,10,0.0039012555474526324,full,0.43513021847193983,1.0,provisional_full,1.0,501,1.3616728091986539,0.4378540379909201
