arm,bayes_nll,conditional_w2_squared,covariance_head_outputs,excess_nll,family,heldout_contrast_loss,maximum_principal_sine,method,projector_error,seed,test_nll,true_crossblock_leakage
signed_permutation,1.3622233489783009,0.0016532135911522916,6,0.004009858326046671,block,0.0028888915456318147,0.0,oracle_block,0.0,100,1.3662332073043477,0.0
signed_permutation,1.3622233489783009,0.0016532135911522913,6,0.004009858326046672,block,0.0028888915456318147,0.0,permutation_block,0.0,100,1.3662332073043477,0.0
signed_permutation,1.362223348978301,0.0016819164990990174,6,0.004036416862206727,block,0.0024121340027658616,0.05271268826192695,jbd_block,0.05872106862963407,100,1.366259765840508,0.0006975298240673674
signed_permutation,1.3622233489783009,0.02334101895495784,4,0.026873403481218347,diagonal,0.0028888915456318147,0.0,oracle_diagonal,0.0,100,1.3890967524595195,0.0
signed_permutation,1.3622233489783009,0.0021195577589064544,10,0.004827376219720934,full,0.4558743672048126,1.0,provisional_full,1.0,100,1.367050725198022,0.43752396512195685
haar,1.3622233489783009,0.0016532135911523382,6,0.004009858326046844,block,0.002888891545631829,3.332000937312528e-08,oracle_block,0.0,100,1.3662332073043477,4.475984380757965e-31
haar,1.3622233489783009,0.022707129896688393,6,0.02565463176114279,block,0.4142454623254362,0.7923367940215095,permutation_block,0.7923568198584668,100,1.3878779807394437,0.4171096021074344
haar,1.362223348978301,0.0016819164990990558,6,0.0040364168622069015,block,0.002412134002765895,0.052712688261924844,jbd_block,0.058721068629633125,100,1.366259765840508,0.0006975298240673723
haar,1.3622233489783009,0.023341018954957816,4,0.026873403481218316,diagonal,0.002888891545631829,3.332000937312528e-08,oracle_diagonal,0.0,100,1.3890967524595192,4.475984380757965e-31
haar,1.3622233489783009,0.0021195577589063863,10,0.004827376219721076,full,0.6319705212047475,0.8667955290779021,provisional_full,0.9422093111953531,100,1.367050725198022,0.6378129247670947
signed_permutation,1.3616820851992952,0.0017633025833781893,6,0.0020708218722939914,block,0.005174010706054357,0.0,oracle_block,0.0,101,1.3637529070715892,0.0
signed_permutation,1.3616820851992952,0.0017633025833781906,6,0.0020708218722939914,block,0.005174010706054357,0.0,permutation_block,0.0,101,1.3637529070715892,0.0
