seed,method,metric,value
0,fiq_fm_block,sliced_w2,0.3042068924132784
1,fiq_fm_block,sliced_w2,0.3054243729317656
2,fiq_fm_block,sliced_w2,0.3309124974783312
3,fiq_fm_block,sliced_w2,0.29401888296921125
4,fiq_fm_block,sliced_w2,0.29999819430542346
0,fiq_fm_block,mmd2,0.0012676387842767147
1,fiq_fm_block,mmd2,0.0016702417113270145
2,fiq_fm_block,mmd2,0.0030847665453701554
3,fiq_fm_block,mmd2,0.0
4,fiq_fm_block,mmd2,0.0003560302359897347
0,fiq_fm_block,energy,0.023791129481341323
1,fiq_fm_block,energy,0.027969687123957643
2,fiq_fm_block,energy,0.049944893521563394
3,fiq_fm_block,energy,0.008579086546675052
4,fiq_fm_block,energy,0.019028538699894737
0,fiq_fm_block,cov_error,0.41496503129477624
1,fiq_fm_block,cov_error,0.40744821829561934
2,fiq_fm_block,cov_error,0.41270826238559105
3,fiq_fm_block,cov_error,0.3918251423036694
4,fiq_fm_block,cov_error,0.41959023558241376
0,fiq_fm_block,mean_error,0.04377709453016864
1,fiq_fm_block,mean_error,0.03966573440864989
2,fiq_fm_block,mean_error,0.06384663412776138
3,fiq_fm_block,mean_error,0.036609601039948286
4,fiq_fm_block,mean_error,0.04342665755167621
0,fiq_fm_block,feature_frechet,5.071612980508458
1,fiq_fm_block,feature_frechet,5.6532969908378745
2,fiq_fm_block,feature_frechet,6.770740985184494
3,fiq_fm_block,feature_frechet,4.456046726898289
4,fiq_fm_block,feature_frechet,4.242859809941666
0,fiq_fm_block,class_feature_frechet,10.4852408363714
1,fiq_fm_block,class_feature_frechet,11.694151324037418
2,fiq_fm_block,class_feature_frechet,13.214269663097613
3,fiq_fm_block,class_feature_frechet,9.870537318400726
4,fiq_fm_block,class_feature_frechet,9.747123911346627
0,fiq_fm_block,precision,0.7166666666666667
1,fiq_fm_block,precision,0.7111111111111111
2,fiq_fm_block,precision,0.6944444444444444
3,fiq_fm_block,precision,0.7416666666666667
4,fiq_fm_block,precision,0.6805555555555556
0,fiq_fm_block,recall,0.6027777777777777
1,fiq_fm_block,recall,0.6027777777777777
2,fiq_fm_block,recall,0.5694444444444444
3,fiq_fm_block,recall,0.6055555555555555
4,fiq_fm_block,recall,0.5916666666666667
0,fiq_fm_block,requested_label_accuracy,0.6527777910232544
1,fiq_fm_block,requested_label_accuracy,0.6416666507720947
2,fiq_fm_block,requested_label_accuracy,0.6111111044883728
3,fiq_fm_block,requested_label_accuracy,0.699999988079071
4,fiq_fm_block,requested_label_accuracy,0.6833333373069763
0,fiq_fm_diagonal_ablation,sliced_w2,0.3121679040538565
1,fiq_fm_diagonal_ablation,sliced_w2,0.31605800412759066
2,fiq_fm_diagonal_ablation,sliced_w2,0.3357171010208436
3,fiq_fm_diagonal_ablation,sliced_w2,0.3043719809208162
4,fiq_fm_diagonal_ablation,sliced_w2,0.31986334264769567
