seed,method,metric,value
0,fiq_fm_block,sliced_w2,0.04321076026977781
1,fiq_fm_block,sliced_w2,0.0375819143436942
2,fiq_fm_block,sliced_w2,0.036011904363717186
3,fiq_fm_block,sliced_w2,0.04091505348875098
4,fiq_fm_block,sliced_w2,0.04206690059877663
0,fiq_fm_block,mmd2,0.00042376470802785127
1,fiq_fm_block,mmd2,0.0007304527774396601
2,fiq_fm_block,mmd2,0.0
3,fiq_fm_block,mmd2,0.00010404705378053136
4,fiq_fm_block,mmd2,0.0009218242199151576
0,fiq_fm_block,energy,0.002391184204421748
1,fiq_fm_block,energy,0.0029762291922428292
2,fiq_fm_block,energy,0.0008648007993719002
3,fiq_fm_block,energy,0.0018154413211819436
4,fiq_fm_block,energy,0.004221317983079676
0,fiq_fm_block,cov_error,0.0405930698004035
1,fiq_fm_block,cov_error,0.0385847780456052
2,fiq_fm_block,cov_error,0.04571225188049773
3,fiq_fm_block,cov_error,0.04082902963766832
4,fiq_fm_block,cov_error,0.05064483233831515
0,fiq_fm_block,mean_error,0.01690320723705199
1,fiq_fm_block,mean_error,0.014497433572333151
2,fiq_fm_block,mean_error,0.02041866333332192
3,fiq_fm_block,mean_error,0.017058695695339402
4,fiq_fm_block,mean_error,0.02074178082310498
0,fiq_fm_diagonal_ablation,sliced_w2,0.06815431274047143
1,fiq_fm_diagonal_ablation,sliced_w2,0.06585383382906926
2,fiq_fm_diagonal_ablation,sliced_w2,0.053413402034904376
3,fiq_fm_diagonal_ablation,sliced_w2,0.06253597274498457
4,fiq_fm_diagonal_ablation,sliced_w2,0.07104408931834395
0,fiq_fm_diagonal_ablation,mmd2,0.0017221266942986098
1,fiq_fm_diagonal_ablation,mmd2,0.002401899557258558
2,fiq_fm_diagonal_ablation,mmd2,0.0
3,fiq_fm_diagonal_ablation,mmd2,0.0008139615250412078
4,fiq_fm_diagonal_ablation,mmd2,0.002985301636643456
0,fiq_fm_diagonal_ablation,energy,0.008094595735071985
1,fiq_fm_diagonal_ablation,energy,0.01014904523427762
2,fiq_fm_diagonal_ablation,energy,0.003271102604344156
3,fiq_fm_diagonal_ablation,energy,0.005412504706492571
4,fiq_fm_diagonal_ablation,energy,0.01152453732957115
0,fiq_fm_diagonal_ablation,cov_error,0.10986253301518455
1,fiq_fm_diagonal_ablation,cov_error,0.11177008381190213
2,fiq_fm_diagonal_ablation,cov_error,0.09659905394050573
3,fiq_fm_diagonal_ablation,cov_error,0.12047984969700539
4,fiq_fm_diagonal_ablation,cov_error,0.12072889631720814
0,fiq_fm_diagonal_ablation,mean_error,0.020536783717513212
1,fiq_fm_diagonal_ablation,mean_error,0.01726231193887741
2,fiq_fm_diagonal_ablation,mean_error,0.013982661836754263
3,fiq_fm_diagonal_ablation,mean_error,0.017312291479852707
4,fiq_fm_diagonal_ablation,mean_error,0.016515065183961182
0,full_fm_param_matched,sliced_w2,0.06224710441431975
1,full_fm_param_matched,sliced_w2,0.05692230362150222
2,full_fm_param_matched,sliced_w2,0.058652353054204715
3,full_fm_param_matched,sliced_w2,0.06540949009853557
4,full_fm_param_matched,sliced_w2,0.06356286746718466
0,full_fm_param_matched,mmd2,0.003005934363001783
