seed,modality,method,nll_per_dimension
800,image,oracle,0.923187025383495
800,image,qalt,0.9234596196107154
800,image,exact_split,0.9234596196107154
800,image,full_token_exact,0.9234596196107154
800,image,diagonal_vae,1.0267711054329713
800,image,coarse_only,1.0294954408660604
800,image,full_token_euler,0.9235041427491808
800,video,oracle,1.1649606885810988
800,video,qalt,1.1650510573590929
800,video,exact_split,1.1650510573590929
800,video,full_token_exact,1.1650510573590929
800,video,diagonal_vae,1.2690430965208128
800,video,coarse_only,1.2775577864751653
800,video,full_token_euler,1.1650701490673812
801,image,oracle,0.9106932794846798
801,image,qalt,0.9108384886314698
801,image,exact_split,0.9108384886314698
801,image,full_token_exact,0.9108384886314698
801,image,diagonal_vae,1.0108639008973817
801,image,coarse_only,1.0155788132148138
801,image,full_token_euler,0.9110700231821386
801,video,oracle,1.1461870534610268
801,video,qalt,1.1462485321821596
801,video,exact_split,1.1462485321821596
801,video,full_token_exact,1.1462485321821596
801,video,diagonal_vae,1.2558831500576317
801,video,coarse_only,1.2637944861143546
801,video,full_token_euler,1.1463051330114413
802,image,oracle,0.8885669711506796
802,image,qalt,0.8887765197218704
802,image,exact_split,0.8887765197218704
802,image,full_token_exact,0.8887765197218704
802,image,diagonal_vae,0.994052905386249
802,image,coarse_only,1.0009340785853507
802,image,full_token_euler,0.8890112464171173
802,video,oracle,1.1538829635378218
802,video,qalt,1.1539132020262248
802,video,exact_split,1.1539132020262248
802,video,full_token_exact,1.1539132020262248
802,video,diagonal_vae,1.2572112633306318
802,video,coarse_only,1.2646971731941272
802,video,full_token_euler,1.1540488505609163
803,image,oracle,0.924346880609531
803,image,qalt,0.9245403305963328
803,image,exact_split,0.9245403305963328
803,image,full_token_exact,0.9245403305963328
803,image,diagonal_vae,1.0302284291878112
803,image,coarse_only,1.0320863329728456
803,image,full_token_euler,0.9245849029830978
803,video,oracle,1.1796375461290438
803,video,qalt,1.1796363277096298
803,video,exact_split,1.1796363277096298
803,video,full_token_exact,1.1796363277096298
803,video,diagonal_vae,1.2781769136531076
803,video,coarse_only,1.2873981800745822
803,video,full_token_euler,1.1797721164197998
804,image,oracle,0.8988433090618426
804,image,qalt,0.8988472192295995
804,image,exact_split,0.8988472192295995
804,image,full_token_exact,0.8988472192295995
804,image,diagonal_vae,1.0041435097188978
804,image,coarse_only,1.0095322025543625
804,image,full_token_euler,0.8989722936648312
804,video,oracle,1.158438671101388
804,video,qalt,1.1584530817205327
804,video,exact_split,1.1584530817205327
804,video,full_token_exact,1.1584530817205327
804,video,diagonal_vae,1.2637264229118348
804,video,coarse_only,1.2722856240046152
804,video,full_token_euler,1.1585399728057415
805,image,oracle,0.9338437715437287
805,image,qalt,0.9341085543085912
805,image,exact_split,0.9341085543085912
805,image,full_token_exact,0.9341085543085912
805,image,diagonal_vae,1.0314531943982634
805,image,coarse_only,1.0339080341546323
805,image,full_token_euler,0.9341515624096043
805,video,oracle,1.1529694314864816
805,video,qalt,1.1531128729670241
805,video,exact_split,1.1531128729670241
805,video,full_token_exact,1.1531128729670241
805,video,diagonal_vae,1.2582684517856237
805,video,coarse_only,1.2668878285366423
805,video,full_token_euler,1.153096814991887
806,image,oracle,0.9183882808097072
806,image,qalt,0.9183629028688018
806,image,exact_split,0.9183629028688018
806,image,full_token_exact,0.9183629028688018
806,image,diagonal_vae,1.0201340758898698
806,image,coarse_only,1.023424794941713
806,image,full_token_euler,0.9184953712447381
806,video,oracle,1.1720954530648768
806,video,qalt,1.1721517584394905
806,video,exact_split,1.1721517584394905
806,video,full_token_exact,1.1721517584394905
806,video,diagonal_vae,1.272971532236208
806,video,coarse_only,1.2810929938876838
806,video,full_token_euler,1.1723116665217312
807,image,oracle,0.907208731516661
807,image,qalt,0.9072500917933548
807,image,exact_split,0.9072500917933548
807,image,full_token_exact,0.9072500917933548
807,image,diagonal_vae,1.0121402428076967
807,image,coarse_only,1.016443011802954
807,image,full_token_euler,0.9073496146275551
807,video,oracle,1.167847228974843
807,video,qalt,1.167949974163799
807,video,exact_split,1.167949974163799
807,video,full_token_exact,1.167949974163799
807,video,diagonal_vae,1.2670579296276627
807,video,coarse_only,1.2752061242842259
807,video,full_token_euler,1.1681501098418985
808,image,oracle,0.8852467118743771
808,image,qalt,0.8852820332441933
808,image,exact_split,0.8852820332441933
808,image,full_token_exact,0.8852820332441933
808,image,diagonal_vae,0.9947348619572313
808,image,coarse_only,1.0011702678094982
808,image,full_token_euler,0.88549377755443
808,video,oracle,1.112187355857902
808,video,qalt,1.1122389552869998
808,video,exact_split,1.1122389552869998
808,video,full_token_exact,1.1122389552869998
808,video,diagonal_vae,1.2279643933695936
808,video,coarse_only,1.2354517669515288
808,video,full_token_euler,1.1123969583859803
809,image,oracle,0.9095337088727099
809,image,qalt,0.9095952385990211
809,image,exact_split,0.9095952385990211
809,image,full_token_exact,0.9095952385990211
809,image,diagonal_vae,1.013413380116325
809,image,coarse_only,1.0177631357175532
809,image,full_token_euler,0.9097034549716978
809,video,oracle,1.1433817139741207
809,video,qalt,1.1435789830667815
809,video,exact_split,1.1435789830667815
809,video,full_token_exact,1.1435789830667815
809,video,diagonal_vae,1.2510699712182174
809,video,coarse_only,1.2584889063499136
809,video,full_token_euler,1.1435524788429134
810,image,oracle,0.9452740579031813
810,image,qalt,0.9452956035703296
810,image,exact_split,0.9452956035703296
810,image,full_token_exact,0.9452956035703296
810,image,diagonal_vae,1.039359970219583
810,image,coarse_only,1.0408698965997378
810,image,full_token_euler,0.9454063867732824
810,video,oracle,1.2040557218642758
810,video,qalt,1.2041070895702786
810,video,exact_split,1.2041070895702786
810,video,full_token_exact,1.2041070895702786
810,video,diagonal_vae,1.2947361410860954
810,video,coarse_only,1.3058050769218705
810,video,full_token_euler,1.2041837574635497
811,image,oracle,0.927308671159137
811,image,qalt,0.9275026122671919
811,image,exact_split,0.9275026122671919
811,image,full_token_exact,0.9275026122671919
811,image,diagonal_vae,1.024586146847461
811,image,coarse_only,1.0273338388224822
811,image,full_token_euler,0.9277216318864788
811,video,oracle,1.1291711851404505
811,video,qalt,1.1292556207961497
811,video,exact_split,1.1292556207961497
811,video,full_token_exact,1.1292556207961497
811,video,diagonal_vae,1.2428039587536044
811,video,coarse_only,1.249187015628106
811,video,full_token_euler,1.1293873893969004
812,image,oracle,0.9383716387888832
812,image,qalt,0.9386350081554343
812,image,exact_split,0.9386350081554343
812,image,full_token_exact,0.9386350081554343
812,image,diagonal_vae,1.0355959798172185
812,image,coarse_only,1.0361021479632826
812,image,full_token_euler,0.9388007859923466
812,video,oracle,1.2083570929222076
812,video,qalt,1.208409982969102
812,video,exact_split,1.208409982969102
812,video,full_token_exact,1.208409982969102
812,video,diagonal_vae,1.301177130166608
812,video,coarse_only,1.3087142735199797
812,video,full_token_euler,1.2085089684751285
813,image,oracle,0.9275411900863203
813,image,qalt,0.9277056308109131
813,image,exact_split,0.9277056308109131
813,image,full_token_exact,0.9277056308109131
813,image,diagonal_vae,1.0294909942153736
813,image,coarse_only,1.0312617486562201
813,image,full_token_euler,0.9278160117890331
813,video,oracle,1.1663810030705737
813,video,qalt,1.1663796098224615
813,video,exact_split,1.1663796098224615
813,video,full_token_exact,1.1663796098224615
813,video,diagonal_vae,1.2640405423126122
813,video,coarse_only,1.2720574903256743
813,video,full_token_euler,1.166421152850843
814,image,oracle,0.9137940653715497
814,image,qalt,0.9137885067752104
814,image,exact_split,0.9137885067752104
814,image,full_token_exact,0.9137885067752104
814,image,diagonal_vae,1.0142145144112291
814,image,coarse_only,1.0183661871488974
814,image,full_token_euler,0.9140212666183589
814,video,oracle,1.2167534047236432
814,video,qalt,1.216776533938991
814,video,exact_split,1.216776533938991
814,video,full_token_exact,1.216776533938991
814,video,diagonal_vae,1.3026771191989548
814,video,coarse_only,1.3148608199658127
814,video,full_token_euler,1.2168330819598316
815,image,oracle,0.914492221210564
815,image,qalt,0.9146767122918475
