seed,modality,method,nll_per_dimension
700,image,oracle,0.9264478468990149
700,image,qalt,0.9264733806230274
700,image,exact_split,0.9264733806230274
700,image,full_token_exact,0.9264733806230274
700,image,diagonal_vae,1.02182927493791
700,image,coarse_only,1.0246509267711923
700,image,full_token_euler,0.9267231942026005
700,video,oracle,1.1272272807064356
700,video,qalt,1.127304362449791
700,video,exact_split,1.127304362449791
700,video,full_token_exact,1.127304362449791
700,video,diagonal_vae,1.2415058760777942
700,video,coarse_only,1.2482296765826018
700,video,full_token_euler,1.1273444952098493
701,image,oracle,0.906189483871675
701,image,qalt,0.9062012403212475
701,image,exact_split,0.9062012403212475
701,image,full_token_exact,0.9062012403212475
701,image,diagonal_vae,1.0134872245099376
701,image,coarse_only,1.0175471001221663
701,image,full_token_euler,0.9063276981034707
701,video,oracle,1.2074840215413352
701,video,qalt,1.2075419458404262
701,video,exact_split,1.2075419458404262
701,video,full_token_exact,1.2075419458404262
701,video,diagonal_vae,1.2964276732397946
701,video,coarse_only,1.3079091720515048
701,video,full_token_euler,1.207691387615178
702,image,oracle,0.9267568903584222
702,image,qalt,0.9267681428408847
702,image,exact_split,0.9267681428408847
702,image,full_token_exact,0.9267681428408847
702,image,diagonal_vae,1.0268285124015846
702,image,coarse_only,1.0304894515733571
702,image,full_token_euler,0.926912461296955
702,video,oracle,1.1734605752990914
702,video,qalt,1.1734424586481347
702,video,exact_split,1.1734424586481347
702,video,full_token_exact,1.1734424586481347
702,video,diagonal_vae,1.2739897629223307
702,video,coarse_only,1.2831930112640766
702,video,full_token_euler,1.1735703111400677
703,image,oracle,0.8943348973293503
703,image,qalt,0.8943045668773555
703,image,exact_split,0.8943045668773555
703,image,full_token_exact,0.8943045668773555
703,image,diagonal_vae,1.0048536997661643
703,image,coarse_only,1.0107934210066287
703,image,full_token_euler,0.8944479475819864
703,video,oracle,1.1284316535548968
703,video,qalt,1.1285141010585087
703,video,exact_split,1.1285141010585087
703,video,full_token_exact,1.1285141010585087
703,video,diagonal_vae,1.240216648295576
703,video,coarse_only,1.2472986264575936
703,video,full_token_euler,1.1286993909738507
704,image,oracle,0.9002554202972898
704,image,qalt,0.9003103904477318
704,image,exact_split,0.9003103904477318
704,image,full_token_exact,0.9003103904477318
704,image,diagonal_vae,1.002086781927743
704,image,coarse_only,1.007381236209853
704,image,full_token_euler,0.9006682351568897
704,video,oracle,1.1047174966181645
704,video,qalt,1.1047374375488157
704,video,exact_split,1.1047374375488157
704,video,full_token_exact,1.1047374375488157
704,video,diagonal_vae,1.2257406659261578
704,video,coarse_only,1.2328028309192323
704,video,full_token_euler,1.104878805520697
