domain,method,test_nll,pixel_energy,feature_frechet,kid,precision,recall,batch_latency_seconds,single_latency_seconds,training_seconds,peak_rss_delta_bytes,stored_bytes,confirmation_opened
cifar,B_dense,-0.0568983,10.0189134,66.0008448,2.5422931,1.0000000,0.0332031,0.0477598,0.00099095,22.4672211,72704000,1290240,false
cifar,B_plus_S,-0.0217966,9.1244268,37.7539235,0.9069214,0.8105469,0.1562500,0.0115928,0.00042804,1.1202483,128155648,6144,false
cifar,B_plus_S_full_update,-0.3414571,9.3266495,34.0653149,1.6074290,0.6894531,0.3574219,0.0661281,0.00203668,26.1632354,45953024,1290240,false
cifar,B_plus_S_plus_A_mean,-0.1379416,9.1318593,32.4314522,0.9919438,0.8085938,0.2031250,0.0158813,0.00094201,6.9511962,112873472,101376,false
cifar,B_plus_S_plus_A_affine,-0.1564300,9.1275023,32.9552601,0.9856219,0.8457031,0.1621094,0.0337919,0.00143242,7.4231690,104427520,115712,false
cifar,positive_rate_latent,-0.5267639,9.0770763,2.8359470,0.0435848,0.6269531,0.6972656,0.0120359,0.00008040,3.6506170,175374336,396804,false
video,B_dense,0.1073113,28.7777389,1087.6020008,4589.1093750,0.9838710,0.0000000,0.0460374,0.00198161,12.6402307,69722112,7403520,false
video,B_plus_S,-0.1981009,22.8835899,527.3535778,1885.0096436,0.8870968,0.0000000,0.0064116,0.00050896,0.0598249,651264,36864,false
video,B_plus_S_full_update,-0.2860670,27.7325814,1003.8001476,3527.4399414,0.9193548,0.0000000,0.0450156,0.00279222,12.5727161,21655552,7403520,false
video,B_plus_S_plus_A_mean,-0.1139874,22.8995853,512.0410072,1868.7520752,0.6774194,0.0000000,0.0229892,0.00188927,1.1218736,2310144,320000,false
video,B_plus_S_plus_A_affine,-0.1156433,22.8912500,511.4764612,1866.6728516,0.6774194,0.0000000,0.0173838,0.00135392,0.8432965,32768,338560,false
video,positive_rate_latent,0.1412009,23.4782947,361.8443244,2188.8098145,0.5161290,0.7258065,0.0057962,0.00019201,1.0150673,31817728,1198340,false
