stage,metric,estimate,ci_lower,ci_upper,decision
parent_reproduction,status,1.0,,,PASS
R11_known_truth,nll_gain_per_dim,0.1462682173734233,0.1451759007045202,0.1473605340423265,PASS
R11_known_truth,proper_energy_gain,0.0164168868675065,0.0125867572345584,0.0202470165004546,PASS
R11_systems_image,batch_latency_seconds,0.0291780690004088,,,PASS
R11_systems_video,batch_latency_seconds,0.0217909229995711,,,PASS
R11_image_smoke,C4G_minus_R11_energy,-0.0020393947292447,,,FAIL
R11_image_smoke,C4G_minus_R11_dependence_error,0.0464976531394476,,,PASS
R11_video_smoke,C4G_minus_R11_energy,-0.0972167910658257,,,FAIL
R11_video_smoke,C4G_minus_R11_dependence_error,0.0121198068580076,,,PASS
R11_oracle_controls,passing_routes,0.0,,,FAIL
C4H_rank4_known_truth,nll_gain_per_dim,0.0135950704480463,0.0134492558815551,0.0137408850145374,PASS_SECONDARY
C4H_rank4_known_truth,proper_energy_gain,0.0002114232004412,-0.0015790058805386,0.0020018522814211,FAIL
C4H_rank8_known_truth,nll_gain_per_dim,0.0269998757343366,0.0268435892187491,0.027156162249924,PASS_SECONDARY
C4H_rank8_known_truth,proper_energy_gain,-0.0000679692818236,-0.0023652959856592,0.0022293574220119,FAIL
SAXC_C3_known_truth,nll_gain_per_dim,0.0192833316687997,0.0187892359441732,0.0197774273934262,FAIL
SAXC_C3_known_truth,proper_energy_gain,0.0063304661384176,0.0060108256226428,0.0066501066541925,PASS
SAXC_C3_known_truth,hidden_azimuth_after,1.0,1.0,1.0,PRESERVED_FAILURE
