stage,setting,metric,estimate,ci_low,ci_high,decision
main_mobius,known_truth,nll_per_dim,0.02390293375780219,0.023209636009534053,0.024596231506070328,PASS
main_mobius,known_truth,proper_energy,0.15207992740027282,0.14767645180419028,0.15648340299635535,PASS
main_mobius,image,batch_latency_seconds,0.0302270109987148,,,PASS
main_mobius,video,batch_latency_seconds,0.0228835680009069,,,PASS
main_mobius,image,parent_minus_child_energy,0.0001056395291385,,,FAIL
main_mobius,video,parent_minus_child_energy,4.849312063015532e-10,,,FAIL
C5_extensive,known_truth,nll_per_dim,0.087768533587218,0.087266988234562,0.088270078939874,PASS
C5_extensive,known_truth,proper_energy,0.0001728055817144,-0.0035796139283876,0.0039252250918166,FAIL
C7_QMC,strength_0.6,proper_energy_gain,0.0054341135496815,0.0054259378448562,0.0054422892545068,PASS
C11_QMC,known_truth,proper_energy,0.0054000360358248,0.0053999955767088,0.0054000764949407,PASS
C13_extensive,image,parent_minus_child_energy,-1.6873880454681967e-05,,,FAIL
C13_extensive,video,parent_minus_child_energy,4.849383117289108e-10,,,FAIL
C13_learned_pattern,image,nll_gain,0.010686942908526707,,,PASS
C13_learned_pattern,image,shape_error_gain,0.18035811499820043,,,PASS
C13_learned_pattern,video,identification_count,33,,,FINITE_SAMPLE
C14_hierarchical,image,nll_gain,0.010278434320068997,,,PASS
C14_hierarchical,image,shape_error_gain,0.15934925000381756,,,PASS
C14_hierarchical,video,nll_gain,0.22569099568344297,,,NLL_ONLY
C14_hierarchical,video,shape_error_gain,-1.3065457147510808,,,FAIL
