result,estimate,lower,upper
identity_minus_R17_nll,0.0741306972778403,0.0724502388582683,0.0758111556974124
identity_minus_R17_energy,0.0017978421929633,0.0012466262264088,0.0023490581595179
identity_minus_R17_dependence,0.2164864695657168,0.2085038737105244,0.2244690654209091
R16_minus_R17_energy,-0.0003081517446714,-0.0019316338653951,0.0013153303760522
R16_minus_R17_nll,-0.013889600595752,-0.014596304017142,-0.013182897174362
R16_minus_R17_dependence,-0.0737848774524725,-0.0827888127861499,-0.064780942118795
identity_minus_oracle_energy,0.0020919979555865,0.0000329041224224275,0.0041510917887507
identity_minus_oracle_nll,0.0885635256012198,0.0863434659224581,0.0907835852799815
population_oracle_energy,0.006363271945286185,0.004765961352963893,0.007960582537608476
max_roundtrip,4.440892098500626e-16,,
max_logdet_cancel,1.4988010832439613e-15,,
max_score_residual_orthogonality,2.1148271858003675e-16,,
