stage,metric,estimate,lower,upper,decision
source_gate_image,proper_energy_gain,0.0183493633,0.0094327705,0.0272659561,pass
source_gate_image,exact_logdet_gain,0.0157570835,0.0050218542,0.0264923128,pass
source_gate_video,design_units,36,,,fail_support
source_gate_video,audit_units,30,,,fail_support
realistic_image,parent_minus_R19_energy,0.0001010460,0.0000298352,0.0001816784,fail_0.005_margin
realistic_image,parent_minus_R19_NLL,0.0000048963,-0.0000119353,0.0000208499,not_established
realistic_image,parent_minus_R19_dependence,0.0409057927,-0.0513621704,0.1088136685,not_established
realistic_image,R19_minus_full_energy,-0.1094365454,-0.4351964326,0.1349423577,noninferiority_not_established
realistic_image,R19_minus_latent_energy,0.4399628698,0.0777969949,0.8018479139,fail
systems,fit_over_full,3.89273409,,,fail
systems,fit_over_latent,9.66615515,,,fail
systems,batch_over_full,0.68742049,,,pass
systems,batch_over_latent,1.54262456,,,fail
systems,stored_over_full,0.06220738,,,pass
systems,stored_over_latent,0.02767224,,,pass
systems,flops_over_full,0.16086833,,,pass
systems,flops_over_latent,0.38608398,,,pass
diagnosis,target4_energy_gain,0.0223612895,0.0013340932,0.0441836020,source_to_development_headroom_fail
diagnosis,preendpoint_joint_energy_gain,0.0006954508,-0.0000688888,0.0014920066,fail
diagnosis,visible_energy_gain,0.0000773542,0.0000093574,0.0001479882,fail
