control,metric,control_minus_R21,lower,upper
identity,nll_per_dim,0.06533772327524297,0.05616601923807729,0.07450942731240864
identity,energy_score,0.00970102000015025,0.006872166829376979,0.012529873170923522
identity,dependence_error,0.931982449779657,0.8845059687462635,0.9794589308130506
oracle,nll_per_dim,-0.16483025689678557,-0.17247307596628564,-0.1571874378272855
oracle,energy_score,-0.00013007069861430408,-0.00038267225463723244,0.00012253085740862428
oracle,dependence_error,-0.5110599575224553,-0.5789606674059541,-0.4431592476389564
R19,nll_per_dim,0.053941270222289714,0.04512341310298573,0.0627591273415937
R19,energy_score,0.00027567984730572095,-0.00028881158062286374,0.0008401712752343056
R19,dependence_error,0.7090909312173312,0.6712466219715388,0.7469352404631237
padded_R19,nll_per_dim,0.053941270222289714,0.04512341310298573,0.0627591273415937
padded_R19,energy_score,0.00027567984730572095,-0.00028881158062286374,0.0008401712752343056
padded_R19,dependence_error,0.7090909312173312,0.6712466219715388,0.7469352404631237
R16,nll_per_dim,0.062351947775644324,0.053099912753926545,0.0716039827973621
R16,energy_score,0.0006854637151127996,-0.00029322044928302665,0.0016641478795086258
R16,dependence_error,0.8632981379282034,0.8104820966154517,0.9161141792409552
additive,nll_per_dim,0.06316904515941704,0.05387016897705278,0.0724679213417813
additive,energy_score,0.0014889210213588021,0.0002549688174791076,0.002722873225238497
additive,dependence_error,0.8804298156870676,0.8305628144894169,0.9302968168847182
nonlinear_additive,nll_per_dim,0.06316131167024616,0.05390421356693614,0.07241840977355618
nonlinear_additive,energy_score,0.0014464110991648127,0.0002711386985134374,0.002621683499816188
nonlinear_additive,dependence_error,0.8786840935157197,0.832960040354819,0.9244081466766205
shuffled_second,nll_per_dim,0.10918937435465685,0.09809920383996641,0.12027954486934729
shuffled_second,energy_score,0.00008660697289712971,-0.000359704574929873,0.0005329185207241324
shuffled_second,dependence_error,0.9616561018721106,0.8954076532873076,1.0279045504569135
