control,metric,control_minus_R22,lower,upper
identity,nll_per_dim,0.06379411007582622,0.059687744265147426,0.06790047588650501
identity,energy_score,0.0073632607425063055,0.0043397376755689825,0.010386783809443629
identity,dependence_error,1.0052901233791085,0.9197065750717334,1.0908736716864837
oracle,nll_per_dim,-0.16640325096618694,-0.17074592371105007,-0.1620605782213238
oracle,energy_score,0.00019754900649724406,-0.0001342939290191667,0.0005293919420136548
oracle,dependence_error,-0.5117600904630548,-0.586525230359429,-0.43699495056668064
padded_R19,nll_per_dim,0.06427436936818438,0.060310698567323365,0.0682380401690454
padded_R19,energy_score,0.003924842024225228,0.00023261453482156975,0.007617069513628887
padded_R19,dependence_error,0.9488855095076693,0.8451821753863706,1.0525888436289679
R21_two_harmonic,nll_per_dim,0.0638715356112709,0.0594964672708161,0.0682466039517257
R21_two_harmonic,energy_score,0.005921552440782296,0.0011101379012656686,0.010732966980298924
R21_two_harmonic,dependence_error,0.977155217690265,0.8471076332724382,1.107202802108092
zero_shear,nll_per_dim,0.06427436936818438,0.060310698567323365,0.0682380401690454
zero_shear,energy_score,0.003924842024225228,0.00023261453482156975,0.007617069513628887
zero_shear,dependence_error,0.9488855095076693,0.8451821753863706,1.0525888436289679
random_shear,nll_per_dim,0.04937848499092974,0.042926436579412364,0.05583053340244712
random_shear,energy_score,0.0003061165830050783,-0.000535337646367773,0.0011475708123779296
random_shear,dependence_error,0.6970771682393515,0.5164922259173613,0.8776621105613417
shuffled_shear,nll_per_dim,0.05486352968265047,0.052010609838983875,0.05771644952631707
shuffled_shear,energy_score,0.00004473911087377047,-0.000813233927950175,0.000902712149697716
shuffled_shear,dependence_error,0.8902323844284445,0.8064697694495716,0.9739949994073175
additive_shear,nll_per_dim,0.06401560451737476,0.05984236925017438,0.06818883978457513
additive_shear,energy_score,0.006097838314658155,0.0019035462830207005,0.01029213034629561
additive_shear,dependence_error,0.970360419788596,0.8766196086347454,1.0641012309424465
generic_nonlinear_shear,nll_per_dim,0.01120112096670427,0.006777127271206671,0.015625114662201872
generic_nonlinear_shear,energy_score,0.00014912043575945332,-0.00042798246687887403,0.0007262233383977807
generic_nonlinear_shear,dependence_error,0.03492935427669312,-0.05059559380775319,0.12045430236113944
R16,nll_per_dim,0.0612571131588989,0.05729418378658606,0.06522004253121175
R16,energy_score,0.00024779489536204126,-0.0010089557044606992,0.0015045454951847816
R16,dependence_error,0.9484727856328519,0.8595937775284461,1.0373517937372576
additive,nll_per_dim,0.062089984522425555,0.05801726592355939,0.06616270312129172
additive,energy_score,0.0008650164184094145,-0.0004182527606040648,0.002148285597422894
additive,dependence_error,0.9649721520444464,0.8833941462150603,1.0465501578738325
nonlinear_additive,nll_per_dim,0.062107552692946835,0.05800710472777289,0.06620800065812078
nonlinear_additive,energy_score,0.0008400550920218741,-0.00044036969966282336,0.0021204798837065717
nonlinear_additive,dependence_error,0.966790018751744,0.882114012062133,1.0514660254413548
